IF1206 	20120608 	0 	1 	国泰君安 	67249 	18298 	0001 	IF 	
IF1206 	20120608 	1 	1 	国泰君安 	2824 	-191 	0001 	IF 	
IF1206 	20120608 	2 	1 	中证期货 	2906 	-226 	0018 	IF 	
IF1206 	20120608 	0 	2 	海通期货 	65297 	12788 	0133 	IF 	
IF1206 	20120608 	1 	2 	银河期货 	1894 	-172 	0109 	IF 	
IF1206 	20120608 	2 	2 	华泰长城 	2832 	-130 	0011 	IF 	
IF1206 	20120608 	0 	3 	广发期货 	60917 	20040 	0016 	IF 	
IF1206 	20120608 	1 	3 	中证期货 	1731 	-41 	0018 	IF 	
IF1206 	20120608 	2 	3 	国泰君安 	2491 	-754 	0001 	IF 	
IF1206 	20120608 	0 	4 	华泰长城 	59076 	12171 	0011 	IF 	
IF1206 	20120608 	1 	4 	广发期货 	1730 	-104 	0016 	IF 	
IF1206 	20120608 	2 	4 	光大期货 	2362 	-39 	0007 	IF 	
IF1206 	20120608 	0 	5 	兴业期货 	58933 	20783 	0102 	IF 	
IF1206 	20120608 	1 	5 	华泰长城 	1693 	-92 	0011 	IF 	
IF1206 	20120608 	2 	5 	申银万国 	1830 	63 	0131 	IF 	
IF1206 	20120608 	0 	6 	鲁证期货 	29667 	3895 	0006 	IF 	
IF1206 	20120608 	1 	6 	光大期货 	1667 	-48 	0007 	IF 	
IF1206 	20120608 	2 	6 	海通期货 	1526 	-207 	0133 	IF 	
IF1206 	20120608 	0 	7 	光大期货 	26439 	9024 	0007 	IF 	
IF1206 	20120608 	1 	7 	南华期货 	1434 	44 	0002 	IF 	
IF1206 	20120608 	2 	7 	大华期货 	1471 	-196 	0145 	IF 	
IF1206 	20120608 	0 	8 	申银万国 	25446 	4209 	0131 	IF 	
IF1206 	20120608 	1 	8 	鲁证期货 	1368 	-362 	0006 	IF 	
IF1206 	20120608 	2 	8 	南华期货 	1268 	103 	0002 	IF 	
IF1206 	20120608 	0 	9 	南华期货 	24461 	5026 	0002 	IF 	
IF1206 	20120608 	1 	9 	海通期货 	1223 	-184 	0133 	IF 	
IF1206 	20120608 	2 	9 	广发期货 	1187 	-1525 	0016 	IF 	
IF1206 	20120608 	0 	10 	中证期货 	24413 	2937 	0018 	IF 	
IF1206 	20120608 	1 	10 	申银万国 	1113 	51 	0131 	IF 	
IF1206 	20120608 	2 	10 	招商期货 	1093 	-215 	0136 	IF 	
IF1206 	20120608 	0 	11 	银河期货 	20210 	2176 	0109 	IF 	
IF1206 	20120608 	1 	11 	上海东证 	1078 	-361 	0156 	IF 	
IF1206 	20120608 	2 	11 	国信期货 	963 	-351 	0113 	IF 	
IF1206 	20120608 	0 	12 	天琪期货 	19540 	1496 	0168 	IF 	
IF1206 	20120608 	1 	12 	国信期货 	926 	-97 	0113 	IF 	
IF1206 	20120608 	2 	12 	银河期货 	958 	-2 	0109 	IF 	
IF1206 	20120608 	0 	13 	瑞达期货 	18781 	8485 	0170 	IF 	
IF1206 	20120608 	1 	13 	浙江永安 	901 	-151 	0003 	IF 	
IF1206 	20120608 	2 	13 	金瑞期货 	941 	230 	0019 	IF 	
IF1206 	20120608 	0 	14 	渤海期货 	16976 	2007 	0126 	IF 	
IF1206 	20120608 	1 	14 	浙商期货 	840 	-213 	0009 	IF 	
IF1206 	20120608 	2 	14 	鲁证期货 	791 	-137 	0006 	IF 	
IF1206 	20120608 	0 	15 	上海东证 	16697 	3260 	0156 	IF 	
IF1206 	20120608 	1 	15 	瑞达期货 	747 	104 	0170 	IF 	
IF1206 	20120608 	2 	15 	浙江永安 	700 	-221 	0003 	IF 	
IF1206 	20120608 	0 	16 	浙商期货 	16302 	3933 	0009 	IF 	
IF1206 	20120608 	1 	16 	长江期货 	725 	-32 	0116 	IF 	
IF1206 	20120608 	2 	16 	信达期货 	659 	-26 	0017 	IF 	
IF1206 	20120608 	0 	17 	招商期货 	15822 	1737 	0136 	IF 	
IF1206 	20120608 	1 	17 	招商期货 	710 	49 	0136 	IF 	
IF1206 	20120608 	2 	17 	天琪期货 	659 	261 	0168 	IF 	
IF1206 	20120608 	0 	18 	浙江永安 	15300 	3108 	0003 	IF 	
IF1206 	20120608 	1 	18 	格林期货 	661 	110 	0106 	IF 	
IF1206 	20120608 	2 	18 	宝城期货 	637 	459 	0110 	IF 	
IF1206 	20120608 	0 	19 	信达期货 	13318 	4049 	0017 	IF 	
IF1206 	20120608 	1 	19 	信达期货 	596 	-296 	0017 	IF 	
IF1206 	20120608 	2 	19 	兴业期货 	606 	-182 	0102 	IF 	
IF1206 	20120608 	0 	20 	中信建投 	11936 	1655 	0115 	IF 	
IF1206 	20120608 	1 	20 	东海期货 	574 	19 	0008 	IF 	
IF1206 	20120608 	2 	20 	中粮期货 	558 	-52 	0010 	IF 	
IF1207 	20120608 	0 	1 	华泰长城 	19429 	6755 	0011 	IF 	
IF1207 	20120608 	1 	1 	国泰君安 	2043 	291 	0001 	IF 	
IF1207 	20120608 	2 	1 	国泰君安 	4511 	91 	0001 	IF 	
IF1207 	20120608 	0 	2 	海通期货 	4681 	1085 	0133 	IF 	
IF1207 	20120608 	1 	2 	华泰长城 	1303 	203 	0011 	IF 	
IF1207 	20120608 	2 	2 	海通期货 	4269 	258 	0133 	IF 	
IF1207 	20120608 	0 	3 	申银万国 	3356 	2110 	0131 	IF 	
IF1207 	20120608 	1 	3 	海通期货 	1249 	61 	0133 	IF 	
IF1207 	20120608 	2 	3 	光大期货 	2904 	23 	0007 	IF 	
IF1207 	20120608 	0 	4 	光大期货 	3173 	44 	0007 	IF 	
IF1207 	20120608 	1 	4 	南华期货 	1143 	103 	0002 	IF 	
IF1207 	20120608 	2 	4 	中证期货 	1789 	147 	0018 	IF 	
IF1207 	20120608 	0 	5 	国泰君安 	3156 	1028 	0001 	IF 	
IF1207 	20120608 	1 	5 	中证期货 	1084 	66 	0018 	IF 	
IF1207 	20120608 	2 	5 	广发期货 	1671 	86 	0016 	IF 	
IF1207 	20120608 	0 	6 	银河期货 	2409 	669 	0109 	IF 	
IF1207 	20120608 	1 	6 	金瑞期货 	918 	-15 	0019 	IF 	
IF1207 	20120608 	2 	6 	招商期货 	1059 	157 	0136 	IF 	
IF1207 	20120608 	0 	7 	广发期货 	2366 	14 	0016 	IF 	
IF1207 	20120608 	1 	7 	国信期货 	777 	299 	0113 	IF 	
IF1207 	20120608 	2 	7 	宝城期货 	900 	701 	0110 	IF 	
IF1207 	20120608 	0 	8 	浙江永安 	2155 	539 	0003 	IF 	
IF1207 	20120608 	1 	8 	广发期货 	773 	22 	0016 	IF 	
IF1207 	20120608 	2 	8 	中粮期货 	574 	55 	0010 	IF 	
IF1207 	20120608 	0 	9 	南华期货 	2154 	344 	0002 	IF 	
IF1207 	20120608 	1 	9 	申银万国 	759 	130 	0131 	IF 	
IF1207 	20120608 	2 	9 	鲁证期货 	270 	74 	0006 	IF 	
