AAN 			0.913																								0.536		0.34	1.636	0.502	0.468	0.821	0.776	1.915	0.691	0.35	1.955	0.913	0.125		0.311	1.012	0.157	0.507	2.435	1.216	2.131	1.444	1.543	1.192	0.784	0.498	0.986	0.236	0.126	0.092	1.7	0.929	1.264	0.401	0.092	0.208		0.662	0.085			0.448	0.376	1.127	0.12			0.5	0.816	1.391	0.976	0.535			1.838	3.157	3.222	0.262	1.052	2.149	1.172	1.656		1.214		0.903	1.034	1.89	3.038	0.586	0.909	1.801	1.653	0.344	3.133	3.199	0.785	2.626	1.552	7.028	5.173	6.088	4.182	4.441	0.616	0.68	0.155	0.293	0.296	0.364	0.271	0.828	0.95	0.218	0.716	2.445	1.624	1.261	2.024	2.581	3.49	3.048	2.02	5.531	6.373	5.964	4.172	4.871	4.1	3.584	5.434	4.98	2.077	1.046	1.842	3.014	6.781	4.452	5.672	5.879	7.206	4.584	3.619	4.915	4.057	3.756	2.457	3.303	2.773	3.123	2.167	2.937	2.224	3.037	3.869	3.42	3.252	4.12	3.436	4.025	8.258	8.967	10.806	9.133	8.228	5.504	6.138	8.23	4.381	9.451	8.855	9.969	9.165	8.42	6.957	10.056	9.695	9.745	6.574	11.626	12.275	9.17	12.313	9.908	17.495	10.047	10.153	12.574	9.482	14.899	10.469	11.44	11.789	16.008	21.221	10.736	4.645	12.139	12.768	19.854	8.892	14.38	17.366	11.343	20.721	12.62	7.23	17.337	6.429	5.877	6.825	5.574	4.934	6.679	8.154	5.384	7.819	5.23	3.875	11.163	10.024	8.613	14.305	15.792	19.636	13.981	11.936	9.221	6.307	7.678	7.476	17.43	11.02	7.874	16.113	12.141	12.056	7.947	11.142	10.647	13.287	7.709	5.364	5.443	7.583	8.896	10.654	9.839	5.424	5.567	4.006	3.976	4.948	3.885	4.494	5.35	2.187	2.927
AAON 			0.017		0.096	0.189	0.006	0.007	0.014	0.02	0.83	0.114	2.479	1.124	0.728	0.844	0.058			0.942	0.982	4.457		0.319		0.315			0.53	0.028	0.102	0.075	0.058	0.179	0.098	0.008	0.065		0.017	0.269		0.184	0.418	0.5	0.509	1.411	1.798	0.97	2.336	2.294	3.592	1.91	4.752	2.742	4.412	1.572	4.697	3.085	3.821	3.399	2.311	1.516	2.056		1.807	0.295			0.074	0.657	0.317											0.208		0.052							0.038								0.006	0.003	0.057	0.095	0.045	0.056	0.181	0	0.004	0.077	0.034	0.002	0.023	0.002	0.003	0.002	0.006	0.017	0.11	0.015	0.264	0.009	0.057	0.042	0.072	0.272	0.044	0.164	0.094	0.281	0.039	0.024	0.195	0.385	0.287	2.359	1.01	1.103	1.053	1.167	1.252	0.774	0.495	0.578	1.449	2.451	2.095	1.108	1.894	1.033	1.261	1.561	1.113	1.592	1.157	1.032	1.053	1.622	2.391	2.136	2.587	1.799	1.152	4.292	5.86	7.683	8.601	8.186	8.222	11.951	13.77	4.32	4.237	3.747	6.001	10.194	9.501	5.827	6.839	6.983	3.821	8.539	7.936	11.803	19.769	13.512	9.738	7.619	13.621	8.436	12.872	9.588	12.456	16.234	16.28	11.325	12.777	13.512	15.477	16.967	15.506	14.066	13.956	11.386	8.694	14.139	10.887	9.906	11.795	13.087	27.039	12.645	26.965	18.404	13.454	19.313	21.128	12.548	18.455	8.642	10.653	18.934	20.65	20.811	20.008	21.708	25.084	20.845	7.925	12.817	22.907	26.325	31.798	18.925	29.986	24.628	22.727	21.341	24.9	36.316	42.409	30.775	50.138	37.051	29.082	36.922	27.921	38.519	33.716	33.649	23.843	43.253	20.362	25.046	24.901	27.54	16.081	43.591	40.991	28.495	35.093	26.804	25.519	45.594	35.926	21.446	24.925
AAWW 																																																																																																																																																																																													3.826	3.554	8.501	11.496	9.619	4.268	3.471	5.492	7.124	8.031	8.182	13.696	14.67	7.969	8.169	10.992	8.021	10.871	14.743	9.432	8.822	8.642	8.563	5.894	5.13	4.927	4.012	3.529	1.822	1.454	6.156	3.848	3.399	1.923	1.775	0.928	1.574	2.232	1.677	2.185	0.646	2.047	3.401	2.408	2.565	3.838	4.209	2.689	4.371	4.867	3.536	2.434	4.292	4.146	4.732	2.467	2.114	3.425	3.218	5.689	6.708	4.274	5.311	2.702	4.177	4.555	4.157	2.898	2.613	4.79	6.396	7.496	11.703	12.123	9.216	7.908	14.763
AB 																																																																																																																						4.533	5.571	2.388	1.125	0.586	2.588	2.7	1.568	2.693	2.628	3.337	9.148	8.987	5.533	6.459	3.074	5.811	5.227	5.483	2.507	5.344	6.361	5.652	3.247	2.789	2.31	3.369	2.703	3.48	4.608	5.593	2.915	2.779	3.148	3.014	3.661	4.555	1.911	2.239	1.524	2.149	3.215	1.872	1.775	2.863	3.613	1.864	2.168	2.961	4.008	7.213	7.097	3.766	6.664	4.417	2.469	1.543	2.129	2.857	5.114	5.084	3.242	2.155	2.396	1.729	3.059	3.188		2.967	4.217	3.394	2.984	1.861	2.528	3.68	2.83	1.604	2.954	4.297	2.449	1.479	1.826	1.103	0.998	0.656	0.983	1.172	1.249	1.011	0.956	0.365	0.923	1.161	0.659	1.006	1.069	0.946	2.234	0.678	0.471	0.504	0.491	1.004	0.695	1.674	1.228	1.598	2.34	2.013	4.056	5.308	4.064	4.307	4.024	4.15	5.538	6.62	5.357	3.567	7.045	4.29	4.208	5.444	2.194	1.427	1.262	0.374	1.766	4.175	8.167	7.513	9.709	7.931	8.303	8.122	5.412	4.652	2.429	5.046	2.755	9.509	13.953	11.393	2.185	2.581	1.19	2.946	2.157
ABAX 			4.182														0.007	0.042	0.038	0.118	0.844	2.179	0.795	2.436	6.142	6.302	1.927	4.152	2.374	1.024	1.212	1.678	4.168	4.699	2.606	1.531	1.638	6.244	4.182	2.02	1.011	1.562	2.941	5.022	10.963	14.317	18.313	25.307	12.549	2.523	7.999	1.357	3.862	2.631	1.258	1.417	2.337	1.727	1.024	2.254	2.113	2.507	2.929	2.075	1.853	2.631	1.724	1.07	0.48	0.769	2.028	1.123			0.691	0.431	0.972	0.82	1.178	2.317	1.748	3.349	1.452	2.164	5.146	8.517	6.697	7.368	5.867	8.168	3.348	7.876	11.666	1.121	2.163	1.035	2.98	1.924	1.97	1.668	1.294	1.306	1.166	1.776	1.05	1.492	1.314	1.011	1.082	2.563	1.44	0.767	0.669	0.86	0.293	0.137	0.283	0.357	0.079	0.127	0.079	0.063	0.051	0.043	0.288	0.911	0.263	0.347	0.616	1.267	2.956	3.099	1.214	1.437	0.876	0.865	1.139	1.082	2.613	3.935	5.395	4.478	2.022	1.936	2.971	2.298	2.045	2.44	2.382	1.589	1.59	0.297	0.961	1.41	1.153	0.889	1.44	1.717	1.677	2.552	1.459	5.675	2.835	3.01	10.292	4.205	8.207	9.815	4.419	6.607	4.574	5.138	10.291	8.447	9.615	8.893	9.872	11.106	6.515	11.029	9.317	3.298	4.695	6.837	4.811	4.634	4.093	3.265	5.786	9.392	11.915	17.747	6.704	9.224	15.033	17.267	9.187	16.554	13.04	10.776	18.41	12.141	8.524	10.443	6.801	7.529	10.21	4.99	4.407	7.049	13.063	17.982	10.749	10.055	15.425	9.318	7.661	13.296	23.61	10.682	14.811	13.063	9.454	16.218	14.689	10.376	11.004	16.04	7.699	13.478	13.669	7.808	15.54	15.137	12.379	13.442	12.095	8.331	18.606	14.553	15.456	14.066	12.124	9.43	14.549	11.932	21.19	16.561	19.703	11.834	14.545	16.436	9.835	20.412	16.672	12.973	12.437	17.13	7.664	13.872	13.557	9.883	24.319	10.307	10.397
ABCB 																																													0.009	0.072	1.512		0.042	0.22	0.001					0.267	0.603	0.364	0.59	0.038	0.002	1.319	3.683		0.002	0.075			0.309	1.531	0.92											0.446		0.035							0.019								0.094	0.104	0.014	0.027	0.231	0.198	0.817	0.008	0.213	0.042	0.048		0.124	0.049	0.003	0.04	0.059			0.15	0.005	0.198	0.074	0.167	0.469	0.08	0.165	0	0.564	0.565	1.719	0.985	0.321	0.044	0.054		0.044	0.044	0.225	0.271	0.071	0.165	0.001	0.811	1.579	1.21	1.866	0.928	3.273	1.403	2.673	4.015	4.666	2.119	2.501	1.429	2.368	3.342	2.755	2.242	2.428	2.279	2.714	3.132	6.107	5.438	9.114	6.406	8.223	8.964	6.344	5.904	2.842	5.518	7.551	5.612	6.323	13.578	21.09	11.599	21.451	12.718	15.171	19.578	18.732	16.387	27.658	13.443	15.542	24.51	26.489	13.192	8.134	16.842	18.661	17.315	21.123	16.043	14.518	11.222	12.693	19.268	19.58	17.399	15.081	21.246	17.298	16.206	10.755	14.409	22.319	13.768	17.501	19.895	7.829	18.481	48.3	14.06	17.63	20.79	14.064	15.84	10.412	8.301	8.409	10.534	5.457	9.707	6.079	8.15	12.032	14.507	19.319	15.657	28.17	23.107	3.28	2.358	5.536	9.652	15.063	18.89	19.272	23.53	21.941	14.165	22.583	26.025	29.054	26.993	19.894	16.855	15.834	27.989	14.982	23.005	36.702	28.789	21.885	18.063	22.908	27.181	27.493	49.445	51.948	34.961	19.662
ABCO 																																																																																											0.466																																												0.752	2.613	1.454	1.565	6.174	3.152	4.335	3.637	11.225	25.43	9.176	4.202	4.279	7.592	5.878	4.548	8.112	6.934	5.572	7.686	11.459	16.149	10.04	1.646	7.895	6.081	5.307	7.311	12.542	6.542	12.208	12.196	7.463	13.097	11.858	4.777	5.041	7.127	4.544	4.558	5.155	5.079	9.565	8.245	8.63	13.302	7.408	7.939	9.076	4.956	4.922	6.931	7.555	8.132	8.883	11.644	10.379	16.294	14.493	12.347	4.163	13.329	13.684	23.143	22.416	12.296	13.491	14.501	10.869	18.522	18.119	19.067	14.493	9.678	9.912	13.792	5.585	14.232	11.707	11.868	8.047	6.7	6.066	6.94	5.391	6.194	4.202	9.972	3.744	4.08	4.603	6.112	7.754	5.552	8.017	4.464	6.663	6.732	14.282	10.937	9.542	7.237	7.016	10.084	7.924	12.748	17.682	13.037	10.692	4.491	6.098	6.53	8.263	8.973	8.389	12.328	6.986	9.13	6.316	9.471	8.308	7.474	7.414	10.872	9.062	9.109	7.015	6.514	5.537	9.705	15.242
ABFS 			3.115																		0.031	0.965	0.116	0.173	0.03	0.036	0.004		0.695	1.086	2.18	1.276	2.343	4.36	1.763	2.57	1.889	1.789	3.115	3.023	2.518	3.035	3.684	3.368	6.821	11.913	7.121	3.396	10.255	13.244	8.903	10.52	16.863	11.027	5.433	2.335	3.305	1.859	4.579	4.527	6.831	3.743	2.403	2.648	1.605	1.147	2.43	3.005	4.021	1.327	1.365	4.625	2.495	1.44	1.328	3.02	2.957	1.694	2.61	1.43	0.514	0.332	0.215	0.13	0.189	0.416	0.107	0.451	0.269	0.678	1.944		3.254	2.892	2.598	3.709	0.754	2.771	2.891	1.467	0.722	1.864	1.596	0.939	1.626	1.386	1.467	1.468	3.773	2.439	4.42	9.213	4.217	4.692	6.997	8.039	8.24	4.21	3.699	7.908	7.445	6.991	3.363	1.891	0.985	2.4	2.558	2.128	4.772	3.04	2.963	3.108	1.776	2.618	2.178	1.273	0.865	1.266	1.059	0.81	1.889	1.836	2.588	2.34	2.12	2.293	3.035	2.474	2.53	3.477	3.042	2.242	3.183	3.162	4.955	6.371	3.938	3.972	4.449	5.99	3.433	4.842	5.411	3.87	3.301	1.608	3.584	5.856	5.509	1.751	4.249	3.41	4.576	4.776	3.629	4.812	7.25	6.82	8.483	12.291	13.337	7.799	12.508	10.244	8.117	10.423	9.154	8.05	8.962	5.21	4.428	7.93	5.997	4.129	8.456	8.732	8.362	9.976	9.058	9.128	11.484	13.595	8.452	13.68	6.711	7.049	13.783	5.909	14.479	10.506	8.424	10.564	10.08	6.191	13.144	6.695	8.449	8.879	10.233	6.172	8.322	7.491	5.144	5.242	4.957	4.9	6.783	4.772	3.234	8.139	3.408	4.415	6.448	8.57	2.921	2.292	2.983	4.52	7.91	4.269	6.094	7.54	3.997	8.156	4.977	1.702	2.117	4.681	4.571	3.183	4.513	3.794	1.984	2.159	3.305	2.092	3.704	2.602	2.403	5.824	4.76	4.794	8.923	3.058	6.794
ABI 																																																																																																																																																																																																																																0.001	0.002	0.003		0.202	0.015	0.016	0.116	0.384	0.124	0.124	0.265	0.069	0.016	0.09	0.066				0.036	0.02	0.057	0.036	0.016		0.022	0.042	0.017	0.665	0.145	0.961	2.884	3.069	0.105	0.357	0.541	0.158	24.77	0.556	3.527	2.904	9.083
ABI 																																																																																																																																																																																																																																0.001	0.002	0.003	0	0.202	0.015	0.016	0.116	0.384	0.124	0.124	0.265	0.069	0.016	0.09	0.066	0			0.036	0.02	0.057	0.036	0.016	0	0.022	0.042	0.017	0.665	0.145	0.961	2.884	3.069	0.105	0.357	0.541	0.158	24.77	0.556	3.527	2.904	9.083
