AACC US Equity																																																																																																																																																																	0.045	1.109	3.563	5.141	11.282	4.391	10.73	15.051	7.462	7.826	4.131	3.964	5.285	2.618	3.682	2.979	5.595	6.018	4.045	5.34	5.166	1.388	1.727	4.033	1.282	1.489	1.609	2.873	2.874	4.375	6.045	6.248	7.3	6.799	10.072	9.897	10.791	12.683	9.331	4.505	7.567	7.27	4.263	4.943	5.558	16.779	13.236	6.555	13.598	18.509	24.721	16.436	23.555	29.448	48.583	19.206	33.797	33.799	22.609	50.418	27.531	35.863	43.286	40.908	23.341	31.153	36.581	46.716	40.502	29.818	40.875	51.889	35.784	45.307	48.446	24.27	5.735	26.715	13.546	25.412	42.907	40.97	27.23	24.259	25.63	24.148	22.163	20.58	1.672	19.706	12.931	12.739	13.487	5.715	5.739	16.065	12.894	5.06	7.283	9.476	2.918	17.828	21.208	18.465	38.176
AAIT US Equity																																																																																																																																																																																																																																																																	0.746		16.214	4.241	173.667	22.697	21.402	8.873	6.32
AAIT US Equity																																																																																																																																																																																																																																																																	0.746	0	16.214	4.241	173.667	22.697	21.402	8.873	6.32
AAME US Equity			0.018		0.186	0.014	0.229	1.429	0.597	0.711			0.941	0.592	1.068	1.246	0.369	1.774	0.388	0.416			0.078	1.014	0.19	0.423	0.629		0.207	0.248	0.355	1.755	0.191	0.227		0.006	0.043	0.055	0.018	0.161		0.146	0.17		0.278	0.008	0.029		0.483	0.008	0.964	0.002	0.002	0.213	0.274	0.037	0.004	0.012	0.141	0.092	0.322	0.548	0.189		0.258	0.097			0.264	0.15	0.605											0.018		0.476							0.041								0.088	0.131	0.119	0.022	0.012	0.006	0.055	0.026	0.036	0.021	0.077	0.06	0.019		0.102	0.187	0.041	0.011	0.03	0.233	0.148	0.593	0.014	0.044	0.238	0.027	0.103	0.041	2.328	0.092	0.055	0.056	0.176	0.104	0.015	0.087	0.069	0.233	0.033	0.041	0.006	0.104	0.077	0.167	0.055				0.056	0.013	0.515	0.002	0.054	0.313	0.008	0.026	0.094	0.07		0.153	0.247	0.37	0.277	0.245	0.176	0.19	0.237	0.276	0.183	0.176	0.279	0.372	0.4	0.467	0.284	0.252	0.375	0.68	0.332	0.274	0.265	0.719	0.379	0.713	0.978	0.87	1.079	0.77	0.704	2.709	8.999	1.162	1.458	0.753	2.182	1.008	0.02	1.59	1.266	0.056	0.166	0.248	0.213	0.913	0.169	0.847	0.451	0.19	0.03	0.448	0.147	2.321	0.774	0.486	1.374	0.481	0.323	1.902	2.754	3.041	1.667	3.547	0.023		0	0.037		0.033	0.116	0.03	0.201	0.065	0.046	0.649	0.814	1.2	0.536	0.999	1.145	1.127	0.371	0.369	2.087	1.176	1.823	2.341	4.076	0.207	1.375	1.803	1.027	1.177	1.566	1.507	0.896	0.831	0.805	1.898	0.192	0.622	0.947	0.52	0.953	0.738	0.771	1.059	0.541
AAP US Equity																																																																																																																																							0.106	2	1.144	0.079	1.497	2.048	1.857	3.063	3.859	6.371	5.745	5.221	3.487	2.204	2.792	3.949	5.122	6.201	2.835	5.274	5.99	4.069	5.834	4.385	3.511	6.075	2.98	2.233	3.339	3.098	2.439	2.536	0.946	1.579	1.78	1.943	3.034	2.003	4.915	1.837	3.44	2.455	2.381	2.777	2.852	1.768	4.092	1.986	3.371	3.235	2.817	1.376	2.589	1.478	1.471	0.808	1.501	2.4	2.32	0.997	0.663	1.556	1.901	1.99	2.288	2.381	2.188	1.427	0.68	1.394	1.499	2.631	3.419	1.46	1.952	1.839	3.581	0.642	1.612	3.454	2.757	1.552	1.369	2.677	2.312	2.297	0.933	1.811	2.135	1.485	2.724	4.086	3.178	3.005	3.442	3.702	6.546	5.601	2.555	4.744	4.284	1.674	2.821	2.8	2.749	3.007	4.345	3.94	3.842	2.985	3.532	5.177	6.505	2.559	2.557	2.533	2.899	3.646	4.683	4.168	6.982	6.915	1.229	1.719	2.026	1.044	1.788	2.57	3.44	2.615	2.035
AAP US Equity																																																																																																																																						101.4	101.4	101.4	101.4	104.857	104.857	105.163	105.163	105.163	106.996	106.996	106.996	107.078	107.078	107.078	107.078	107.297	107.325	109	109	109	110.094	110.094	110.094	110.727	110.727	110.727	110.727	110.876	111.025	111.227	111.227	111.227	112.301	112.301	112.301	110.295	110.295	110.295	110.295	107.247	107.247	107.453	107.453	107.453	109.466	109.466	109.466	108.177	108.177	108.177	108.177	108.053	107.92	107.92	105.976	105.976	105.116	105.116	105.116	105.248	105.248	105.248	105.668	105.668	105.668	106.458	106.458	106.458	102.228	102.228	102.228	100.149	100.149	100.149	94.517	94.517	94.517	95.285	95.285	95.285	95.66	95.66	95.66	94.691	94.691	94.691	94.691	95	95	95	95.241	95.241	95.241	95.449	95.449	94.631	94.631	94.631	94.631	92.261	87.854	87.854	87.418	87.418	84.266	84.266	84.266	84.053	84.053	84.053	84.053	80.06	80.06	80.06	76.637	76.637	73.734	73.734	73.734	72.446	72.446	72.446	72.925	72.925	73.241	73.514	73.514	73.514	73.514	73.514	73.514
AAT US Equity																																																																																																																																																																																																																																																				0.019	0.231	0.179	7.75	7.259	7.317	3.768	7.424	5.111	7.265	2.184	5.071	9.551	7.157	8.037	10.686	9.175	5.176	7.427	9.04	4.325	12.421
AAXJ US Equity																																																																																																																																																																																																																							0.199	0.103	1.202	0.149	1.804	2.453	0.528	1.664	1.49	0.389	1.341	0.708	1.054	1.023	0.768	1.007	1.082	0.469	2.867	0.976	1.182	1.212	0.698	2.59	1.019	0.435	2.212	2.671	6.177	0.032	0.138	0.083	0.145	1.215	0.342	0.616	0.12	0.178	1.316	1.675	0.083	2.24	1.088	0.563	0.902	0.264	0.387	0.75	0.877	0.722	0.353
ABCS US Equity																																																																																																																																																																																																																																																									0.417	0.5	0.77	11.533	14.835	1.104	0.215	0.689	1.152	3.076	2.9	0.392	0.971	0.068	0.615	1.453	
ABCS US Equity																																																																																																																																																																																																																																																									0.417	0.5	0.77	11.533	14.835	1.104	0.215	0.689	1.152	3.076	2.9	0.392	0.971	0.068	0.615	1.453	
