AACC 																																																																																																																																																																	0.045	1.109	3.563	5.141	11.282	4.391	10.73	15.051	7.462	7.826	4.131	3.964	5.285	2.618	3.682	2.979	5.595	6.018	4.045	5.34	5.166	1.388	1.727	4.033	1.282	1.489	1.609	2.873	2.874	4.375	6.045	6.248	7.3	6.799	10.072	9.897	10.791	12.683	9.331	4.505	7.567	7.27	4.263	4.943	5.558	16.779	13.236	6.555	13.598	18.509	24.721	16.436	23.555	29.448	48.583	19.206	33.797	33.799	22.609	50.418	27.531	35.863	43.286	40.908	23.341	31.153	36.581	46.716	40.502	29.818	40.875	51.889	35.784	45.307	48.446	24.27	5.735	26.715	13.546	25.412	42.907	40.97	27.23	24.259	25.63	24.148	22.163	20.58	1.672	19.706	12.931	12.739	13.487	5.715	5.739	16.065	12.894	5.06	7.283	9.476	2.918	17.828	21.208	18.465	38.176
AAIT 																																																																																																																																																																																																																																																																	0.746		16.214	4.241	173.667	22.697	21.402	8.873	6.32
AAIT 																																																																																																																																																																																																																																																																	0.746	0	16.214	4.241	173.667	22.697	21.402	8.873	6.32
AAT 																																																																																																																																																																																																																																																				0.019	0.231	0.179	7.75	7.259	7.317	3.768	7.424	5.111	7.265	2.184	5.071	9.551	7.157	8.037	10.686	9.175	5.176	7.427	9.04	4.325	12.421
AAXJ 																																																																																																																																																																																																																							0.199	0.103	1.202	0.149	1.804	2.453	0.528	1.664	1.49	0.389	1.341	0.708	1.054	1.023	0.768	1.007	1.082	0.469	2.867	0.976	1.182	1.212	0.698	2.59	1.019	0.435	2.212	2.671	6.177	0.032	0.138	0.083	0.145	1.215	0.342	0.616	0.12	0.178	1.316	1.675	0.083	2.24	1.088	0.563	0.902	0.264	0.387	0.75	0.877	0.722	0.353
ABG 																																																																																																																																											1.105	2.078	3.553	3.681	8.476	7.663	5.33	4.295	6.765	6.794	17.392	10.108	8.162	11.938	10.434	11.87	4.52	5.841	4.07	1.045	2.643	3.856	3.528	1.685	2.491	3.218	5.447	3.061	3.962	6.003	3.578	5.673	4.776	3.455	2.476	2.91	5.914	8.665	9.866	5.515	2.751	4.631	6.397	6.902	8.964	11.188	10.256	4.761	5.331	7.195	6.335	7.185	3.852	8.284	1.058	2.036	2.215	2.747	3.99	4.948	4.117	3.83	5.55	4.526	3.608	4.084	5.082	6.494	11.096	4.355	6.741	6.366	5.543	7.898	7.299	7.509	14.763	10.159	2.984	5.484	7.17	6.523	7.172	2.758	2.624	3.532	4.787	3.392	5.615	4.873	3.94	4.005	5.437	5.026	8.058	4.398	3.503	4.338	2.985	5.622	7.761	8.224	7.753	6.548	5.986	6.963	2.107	5.818	8.251	10.773	9.673	11.389	9.467	9.393	7.432	10.644	14.306	11.339	7.228	10.781	5.016	8.256	6.535	7.507	10.306	9.376	7.568
ABIO 																																																																																			0.125	0.753	0.333	0.318			0.501	0.338	0.288	0.623	1.313	2.131	2.722	1.172	1.378	1.072	1.632	1.025	1.694	0.994	0.68	0.663	0.995	0.559	1.626	1.307	0.629	1.085	0.262	0.275	0.327	0.274	0.446	1.5	1.853	1.691	2.004	2.281	1.979	1.742	1.132	1.684	2.986	2.868	3.405	5.137	2.627	2.579	6.448	5.752	5.154	14.471	9.327	8.102	17.93	21.491	11.397	12.717	10.957	10.062	7.591	6.238	4.961	5.728	10.827	12.496	2.763	1.769	0.368	0.538	0.187	1.135	0.931	0.504	0.328	0.94	1.253	0.507		0	2.249	2.64	2.42	4.6	5.473	10.688	4.766	4.719	4.193	4.755	1.977	3.26	5.328	6.516	9.061	5.919	6.14	7.512	7.254	8.791	5.06	2.168	2.729	5.516	8.098	10.541	11.547	12.806	12.337	10.485	11.224	10.116	0.595	1.909	2.568	4.368	0.752	2.573	5.257	2.265	3.286	6.511	4.067	2.578	2.63	4.247	3.894	0.91	3.664	9.441	7.729	1.811	6.8	1.781	8.329	1.587	1.465	2.206	0.764	0.98	0.864	0.288	0.403	0.272	0.778	1.426	2.196	0.365	4.152	9.137	26.941	0.223	0.4	0.966	3.735	5.723	8.664	5.488	4.722	5.41	2.707	4.111	7.232	3.292	2.654	0.539	7.761	11.309	14.787	8.849	14.623	0.931	3.436	2.594	10.837	4.079	15.46	1.65	5.144	1.583	0.913	0.484	1.471
ABIO 																																																																																			0.125	0.753	0.333	0.318			0.501	0.338	0.288	0.623	1.313	2.131	2.722	1.172	1.378	1.072	1.632	1.025	1.694	0.994	0.68	0.663	0.995	0.559	1.626	1.307	0.629	1.085	0.262	0.275	0.327	0.274	0.446	1.5	1.853	1.691	2.004	2.281	1.979	1.742	1.132	1.684	2.986	2.868	3.405	5.137	2.627	2.579	6.448	5.752	5.154	14.471	9.327	8.102	17.93	21.491	11.397	12.717	10.957	10.062	7.591	6.238	4.961	5.728	10.827	12.496	2.763	1.769	0.368	0.538	0.187	1.135	0.931	0.504	0.328	0.94	1.253	0.507			2.249	2.64	2.42	4.6	5.473	10.688	4.766	4.719	4.193	4.755	1.977	3.26	5.328	6.516	9.061	5.919	6.14	7.512	7.254	8.791	5.06	2.168	2.729	5.516	8.098	10.541	11.547	12.806	12.337	10.485	11.224	10.116	0.595	1.909	2.568	4.368	0.752	2.573	5.257	2.265	3.286	6.511	4.067	2.578	2.63	4.247	3.894	0.91	3.664	9.441	7.729	1.811	6.8	1.781	8.329	1.587	1.465	2.206	0.764	0.98	0.864	0.288	0.403	0.272	0.778	1.426	2.196	0.365	4.152	9.137	26.941	0.223	0.4	0.966	3.735	5.723	8.664	5.488	4.722	5.41	2.707	4.111	7.232	3.292	2.654	0.539	7.761	11.309	14.787	8.849	14.623	0.931	3.436	2.594	10.837	4.079	15.46	1.65	5.144	1.583	0.913	0.484	1.471
ABTL 																																																																																																							0.011	1.381	1.161	4.183	5.59	10.601	2.204	5.045	3.319	3.523	6.264	11.229	11.393	11.343	10.697	11.903	9.899	5.057	4.463	7.092	6.097	3.782	6.939	4.674	4.498	6.653	12.374	12.801	7.537	9.583	5.917	2.941	3.895	3.66	3.978	6.424	1.942	2.166	8.316	6.019	6.957	6.385	3.691	3.81	3.223	3.208	4.036	3.904	1.885	1.304	1.303	1.976	4.49	2.855	1.855	1.706	2.167	2.838	2.086	3.251	3.713	1.85	3.118	5.068	6.523	6.513	5.486	0	2.393	3.286	4.014	5.98	5.153	9.032	4.657	7.002	6.548	10.896	11.419	5.729	12.289	14.144	10.077	8.398	8.763	12.607	8.987	3.253	9.005	8.01	14.289	13.636	3.202	6.345	9.206	14.822	5.904	7.303	4.968	6.721	7.088	22.656	15.586	10.002	3.03	0.915	5.877	1.934	2.433	4.31	1.194	2.007	1.788	0.326	1.362	0.226	0.55	10.924	31.559	3.762	0.472	1.053	0.268	0.327	0.174	0.345	0.831	0.813	0.431	0.733	1.172	0.476	0.356	0.218	0.456	0.787	1.276	0.403	0.384	0.76	0.77	0.333	0.138	0.216	0.376	0.513	1.541	3.099	1.697	2.384	2.271	0.648	0.189	0.583	0.427	0.697	0.485	0.67	0.507	0.94	1.482	0.682	1.677
ABTL 																																																																																																							0.011	1.381	1.161	4.183	5.59	10.601	2.204	5.045	3.319	3.523	6.264	11.229	11.393	11.343	10.697	11.903	9.899	5.057	4.463	7.092	6.097	3.782	6.939	4.674	4.498	6.653	12.374	12.801	7.537	9.583	5.917	2.941	3.895	3.66	3.978	6.424	1.942	2.166	8.316	6.019	6.957	6.385	3.691	3.81	3.223	3.208	4.036	3.904	1.885	1.304	1.303	1.976	4.49	2.855	1.855	1.706	2.167	2.838	2.086	3.251	3.713	1.85	3.118	5.068	6.523	6.513	5.486		2.393	3.286	4.014	5.98	5.153	9.032	4.657	7.002	6.548	10.896	11.419	5.729	12.289	14.144	10.077	8.398	8.763	12.607	8.987	3.253	9.005	8.01	14.289	13.636	3.202	6.345	9.206	14.822	5.904	7.303	4.968	6.721	7.088	22.656	15.586	10.002	3.03	0.915	5.877	1.934	2.433	4.31	1.194	2.007	1.788	0.326	1.362	0.226	0.55	10.924	31.559	3.762	0.472	1.053	0.268	0.327	0.174	0.345	0.831	0.813	0.431	0.733	1.172	0.476	0.356	0.218	0.456	0.787	1.276	0.403	0.384	0.76	0.77	0.333	0.138	0.216	0.376	0.513	1.541	3.099	1.697	2.384	2.271	0.648	0.189	0.583	0.427	0.697	0.485	0.67	0.507	0.94	1.482	0.682	1.677
